model,acc_AI,re_AI,pre_AI,wF1_AI,acc_FK,re_FK,pre_FK,wF1_FK
GPT4,65.27,94.14,59.68,73.05,60.97,46.2,85.65,60.02
Gemini_2.0_exp,82.39,84.57,81.03,82.76,70.42,62.6,87.14,72.86
llama-3.3-70b-versatile,77.6,68.46,83.78,75.35,64.67,53.59,85.22,65.8
GLM_4_Flash,67.92,91.53,62.18,74.05,63.29,55.59,80.49,65.77
QWen2.5_72B,61.85,84.11,58.2,68.8,62.0,45.9,88.74,60.5
DeepSeek-V3,67.44,82.51,63.4,71.7,74.19,75.82,82.11,78.84
Grok3,63.97,95.54,58.56,72.62,68.46,91.43,68.95,78.62
Claude-3.7-sonnet,56.4,78.72,54.42,64.36,70.24,72.96,78.58,75.67
