model,acc_AI,re_AI,pre_AI,wF1_AI,acc_FK,re_FK,pre_FK,wF1_FK
GPT4,37.95,64.55,13.39,22.18,69.83,54.49,44.87,49.21
Gemini_2.0_exp,43.1,73.85,15.95,26.23,72.51,11.55,45.18,18.39
llama-3.3-70b-versatile,51.78,61.68,16.43,25.95,72.89,38.63,49.32,43.33
GLM_4_Flash,22.57,85.04,13.38,23.13,69.07,58.02,44.18,50.16
QWen2.5_72B,54.66,55.44,16.21,25.09,74.32,31.13,53.68,39.41
DeepSeek-V3,68.43,30.94,16.08,21.16,71.35,54.43,47.05,50.47
Grok3,61.77,45.31,16.8,24.51,69.92,41.14,43.57,42.32
Claude-3.7-sonnet,33.94,92.93,16.36,27.82,64.1,66.72,39.89,49.93
